"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Azerbaijan","AZE","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000217099232280152","0.000188317573244481","0.00224623858744425","0.0385776840557613","0.192037558260894","0.223499779314353","0.226418965821875","0.221235242825949","0.198041363371441","0.195030126970674","0.192604298056553","0.194851277527233","0.194782249818793","0.202430511512948","0.214739229264176","0.225354875921728","0.255610113324741","0.297452828875892","0.302881924983886","0.315076892464566","0.329418712376948","0.326187327646345","0.329254349450353","0.328501064184516","0.341267275964948","0.378972279576625","0.418954057661314","0.416824577246552","",
"Burundi","BDI","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.2664418424835","83.9334145781787","82.9513535833629","88.3720624523476","98.9185577678093","114.754154793923","140.959645048398","180.59273348624","200.062045664995","202.406290046211","243.631167053031","258.960899519333","251.436460386505","272.032668478702","286.602208017059","313.932014493635","312.470638677812","329.360294722777","394.598084358596","437.806234475804","458.71109621858","487.327276270055","564.156698899816","600.148056422761","616.584320360972","650.000925330067","677.577752121733","769.945474413409","730.432413818299","",
"Belgium","BEL","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.976386","0.97138","0.963515","0.964047","0.965683","0.960383","0.956118","0.956505","0.972754","0.963518","0.925365","0.925269","0.910932","0.927128","0.921647","0.92366","0.922853","0.926391","0.916938","0.901708","0.894523","0.880715","0.88312","0.87123","0.859895","0.865343","0.867059","0.857101","0.865927","",
"Benin","BEN","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134.73879609868","131.452429387015","177.474641411512","197.598528964699","201.405391091248","203.626540763287","212.050205215855","208.187815752344","209.775849219421","212.138540723254","214.024516892807","212.386211670711","208.656019776723","212.635240079581","213.781024792484","210.549753278793","218.879757781435","224.398462331475","225.871740885353","224.917223893262","235.219102567843","233.88652670004","227.837493459377","228.190315717118","223.435641928996","218.948471089101","215.916833784866","",
"Burkina Faso","BFA","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183.056176111056","179.41671664434","170.674852632638","166.699077440993","203.367671573688","212.572986516081","219.112632729254","219.071953776556","226.691418869506","219.458093056096","211.643573433151","216.133189594798","217.387749713642","216.887103166589","210.386513784183","216.536362573939","214.663467525712","208.228322887307","221.905853015705","228.505994220129","223.100732252489","222.241966413784","226.049771239535","223.975420809236","219.831211304967","221.66762672641","218.370142849008","214.588037398437","213.377011918763","",
"Bangladesh","BGD","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3848988662547","12.6370763536716","12.7113146296929","12.719113119001","13.054583101085","14.0059926247504","13.930598842947","14.3346022871418","15.3015075774552","15.8882841350761","15.708678503742","15.5835608771082","15.8514836187046","16.3782559319814","17.1615078741617","17.7679908556697","18.3772035287061","19.4946929506416","20.4451884827954","21.630935613406","23.0114145557811","24.8491548007674","25.8590412718346","27.404896302824","28.8528894881782","30.603813889698","31.8888585578708","33.0041587578376","34.0032272155486","",
"Bulgaria","BGR","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000592843499476868","0.00249370936296285","0.00463017481367647","0.00777509609154299","0.0148562776815932","0.0234183335484148","0.0465059028651232","0.520916929834268","0.616488561235015","0.621377881158807","0.63149679300783","0.662232386387478","0.662567852834741","0.669132635611191","0.693572198230148","0.714461089593748","0.760520789228554","0.797798088907354","0.840044508772077","0.856489669505685","0.841091688172567","0.811079047224259","0.805868032904263","0.778815357749744","0.748303147256903","0.75835464554159","0.747133410226836","0.752186413378893","0.772163597384987","",
"Bahrain","BHR","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.292094994774537","0.282369576740471","0.273596003063233","0.272498987482758","0.267743798251759","0.267479753919872","0.258687478981316","0.258924740243878","0.254032401514462","0.245392261448207","0.235703244689283","0.226456899286744","0.221816632509358","0.220349417865064","0.219653466838282","0.217940007225938","0.215367453088336","0.216213393175476","0.215561463475305","0.222378169132575","0.223082325324281","0.215387244738277","0.216841068047801","0.220765164788846","0.222989861727621","0.22682273124456","0.230270068121343","0.22859537264253","0.227797025442231","",
"Bahamas, The","BHS","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.20047814369954","1.23364395939289","1.26608545754821","1.2632722068698","1.24839834957031","1.23943142717902","1.22074243613198","1.19934807159528","1.19680102604584","1.18586483694187","1.1655546168364","1.15669977461143","1.16338981516379","1.17197787287112","1.15262713161053","1.13254793204076","1.12337442897057","1.11944141508165","1.12645372043596","1.15379173603411","1.15043143756887","1.15089916146261","1.14981703967617","1.14140383190353","1.1401096508252","1.16003379947929","1.14161330824687","1.13477343894774","1.13281588416022","",
"Bosnia and Herzegovina","BIH","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.876000272995615","0.89691760521636","0.907294201436287","0.930567988822609","0.905497371531032","0.88949213614452","0.870499984056631","0.855868828461869","0.833235448430318","0.826369998372509","0.820587593175935","0.801922337562476","0.789035569671699","0.805729999166711","",
"Belarus","BLR","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.77399285829953E-07","3.47647311829503E-06","7.86390498314749E-05","0.000619093848782552","0.000918507736187277","0.00147138106519501","0.00250469246653606","0.00964931243548016","0.0250733157365254","0.0392914275751937","0.0551306479800123","0.0692153079108858","0.0796174364864798","0.0849662959374943","0.0880703955704319","0.092843353248901","0.102677445222361","0.116383511650871","0.123363432982979","0.183243476320321","0.285844688614773","0.333306925468825","0.387415905158753","0.439329507180343","0.48520977410125","0.503746483761078","0.515694272632984","",
"Belize","BLZ","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.18261122889309","","","","","","","","",
"Bermuda","BMU","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.90009264218983","","","","","","","","",
"Bolivia","BOL","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.19904958208159","1.39704618076891","1.51951121630548","1.60181323134648","1.6840305991523","1.80504814405641","1.97154417401247","2.01721695667439","2.13880244893617","2.1382057132361","2.16367493573511","2.1376560579808","2.12381466724512","2.14597649848993","2.18276389179361","2.22499688068489","2.24776830997878","2.37567986968048","2.6083015413231","2.70520541468607","2.72818082347171","2.9061057266248","2.97575550393406","3.10103182291662","3.22749872129181","3.35454319690243","3.4327781338779","3.4560592904991","3.45030641852961","",
"Brazil","BRA","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3906672411205E-05","0.000122196580756421","0.00124767192684651","0.0245698434726189","0.521026901292023","0.841338234380028","0.946179059587246","0.98860758294817","1.00460015128542","1.03085278295887","1.06742218348537","1.10909283185186","1.1840338479409","1.3281140283581","1.37881794908232","1.42518349313297","1.4384048782179","1.44943353496058","1.47511002592151","1.55273460723023","1.60465561441005","1.65878263608021","1.71296785930684","1.79298152798258","1.87602671247118","2.04300650769496","2.19387027959036","2.22214510506801","2.2486580503148","",
"Barbados","BRB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.94038496226059","1.97803595802307","2.03688187436737","2.00051303599494","1.95118159929204","1.93359613765365","1.92335715915217","2.02433566777026","1.96809875793884","1.95600441806418","1.93819882082529","1.93351786311818","1.90571435143847","1.89358983465929","1.86993196897865","1.91857242809483","1.99443584299981","2.01734764749898","2.10028435285364","2.18458301737567","2.27451487430284","2.41288089384718","2.47112917360263","2.47963552478669","2.48322923995208","2.45268656333837","2.45317934374319","2.51395208583362","2.54416662314943","",
